DMosler   20220520130447
Knee EXT/FLEX UNI ISOK CON/CON 500/500 deg/s   Filtered: Yes   Windowed: Yes
  Set  Rep      mSec      TORQUE    POSITION  POS_(ANAT)    VELOCITY
    1    3      2780         0.0        93.1        20.1         0.0
    1    3      2790         0.0        93.0        20.0         0.0
    1    3      2800         0.0        92.9        19.9         0.0
    1    3      2810         0.0        92.8        19.8         0.0
    1    3      2820         0.0        92.8        19.8         0.0
    1    3      2830         0.0        92.9        19.9         0.0
    1    3      2840         0.0        93.0        20.0         0.0
    1    3      2850         0.0        93.4        20.4         0.0
    1    3      2860         0.0        93.9        20.9         0.0
    1    3      2870         0.0        94.6        21.6         0.0
    1    3      2880         0.0        95.4        22.4         0.0
    1    3      2890         0.0        96.5        23.5         0.0
    1    3      2900         0.0        97.8        24.8         0.0
    1    3      2910         0.0        99.4        26.4         0.0
    1    3      2920         0.0       101.1        28.1         0.0
    1    3      2930         0.0       103.2        30.2         0.0
    1    3      2940         0.0       105.6        32.6         0.0
    1    3      2950        -1.2       108.2        35.2       -19.9
    1    3      2960        -2.4       111.1        38.1       -41.3
    1    3      2970        -4.9       114.1        41.1       -83.9
    1    3      2980        -8.3       117.4        44.4      -149.1
    1    3      2990       -12.9       120.9        47.9      -238.1
    1    3      3000       -17.6       124.7        51.7      -309.2
    1    3      3010       -22.6       128.7        55.7      -360.1
    1    3      3020       -23.7       133.0        60.0      -368.0
    1    3      3030       -28.5       137.4        64.4      -368.7
    1    3      3040       -30.9       141.7        68.7      -320.9
    1    3      3050       -29.4       145.5        72.5      -248.3
    1    3      3060       -20.3       148.9        75.9      -156.9
    1    3      3070       -12.3       152.0        79.0       -89.3
    1    3      3080        -6.9       154.8        81.8       -43.7
    1    3      3090         0.0       157.2        84.2       -20.7
    1    3      3100         0.0       159.4        86.4         0.0
    1    3      3110         0.0       161.3        88.3         0.0
    1    3      3120         0.0       163.0        90.0         0.0
    1    3      3130         0.0       164.5        91.5         0.0
    1    3      3140         0.0       165.9        92.9         0.0
    1    3      3150         0.0       167.1        94.1         0.0
    1    3      3160         0.0       168.2        95.2         0.0
    1    3      3170         0.0       169.2        96.2         0.0
    1    3      3180         0.0       170.0        97.0         0.0
    1    3      3190         0.0       170.8        97.8         0.0
    1    3      3200         0.0       171.5        98.5         0.0
    1    3      3210         0.0       172.1        99.1         0.0
    1    3      3220         0.0       172.6        99.6         0.0
    1    3      3230         0.0       173.1       100.1         0.0
    1    3      3240         0.0       173.6       100.6         0.0
    1    3      3250         0.0       173.9       100.9         0.0
    1    3      3260         0.0       174.3       101.3         0.0
    1    3      3270         0.0       174.6       101.6         0.0
    1    3      3280         0.0       174.9       101.9         0.0
    1    3      3290         0.0       175.1       102.1         0.0
    1    3      3300         0.0       175.3       102.3         0.0
    1    3      3310         0.0       175.5       102.5         0.0
    1    3      3320         0.0       175.7       102.7         0.0
    1    3      3330         0.0       175.8       102.8         0.0
    1    3      3340         0.0       175.9       102.9         0.0
    1    3      3350         0.0       176.1       103.1         0.0
    1    3      3360         0.0       176.2       103.2         0.0
    1    3      3370         0.0       176.3       103.3         0.0
    1    3      3380         0.0       176.3       103.3         0.0
    1    3      3390         0.0       176.4       103.4         0.0
    1    3      3400         0.0       176.4       103.4         0.0
    1    3      3410         0.0       176.4       103.4         0.0
    1    -      3420         0.0       176.2       103.2         0.0
    1    -      3430         0.0       175.7       102.7         0.0
    1    4      3440         0.0       174.9       101.9         0.0
    1    4      3450         0.0       173.8       100.8         0.0
    1    4      3460         0.0       172.3        99.3         0.0
    1    4      3470         0.0       170.4        97.4         0.0
    1    4      3480         3.5       168.3        95.3        19.6
    1    4      3490         7.2       165.8        92.8        41.1
    1    4      3500        14.4       163.0        90.0        83.9
    1    4      3510        25.1       159.9        86.9       150.0
    1    4      3520        39.7       156.4        83.4       240.3
    1    4      3530        51.0       152.7        79.7       316.9
    1    4      3540        59.2       148.6        75.6       376.5
    1    4      3550        66.2       144.1        71.1       413.1
    1    4      3560        75.4       139.5        66.5       443.2
    1    4      3570        75.5       134.8        61.8       426.0
    1    4      3580        78.5       130.0        57.0       398.3
    1    4      3590        76.2       125.6        52.6       341.0
    1    4      3600        65.5       121.7        48.7       260.5
    1    4      3610        43.5       118.2        45.2       163.4
    1    4      3620        25.8       115.1        42.1        92.2
    1    4      3630         0.0       112.4        39.4        44.7
    1    4      3640         0.0       110.0        37.0        21.1
    1    4      3650         0.0       107.9        34.9         0.0
    1    4      3660         0.0       106.0        33.0         0.0
    1    4      3670         0.0       104.4        31.4         0.0
    1    4      3680         0.0       102.9        29.9         0.0
    1    4      3690         0.0       101.7        28.7         0.0
    1    4      3700         0.0       100.5        27.5         0.0
    1    4      3710         0.0        99.5        26.5         0.0
    1    4      3720         0.0        98.6        25.6         0.0
    1    4      3730         0.0        97.9        24.9         0.0
    1    4      3740         0.0        97.2        24.2         0.0
    1    4      3750         0.0        96.6        23.6         0.0
    1    4      3760         0.0        96.0        23.0         0.0
    1    4      3770         0.0        95.6        22.6         0.0
    1    4      3780         0.0        95.2        22.2         0.0
    1    4      3790         0.0        94.8        21.8         0.0
    1    4      3800         0.0        94.5        21.5         0.0
    1    4      3810         0.0        94.2        21.2         0.0
    1    4      3820         0.0        93.9        20.9         0.0
    1    4      3830         0.0        93.7        20.7         0.0
